"Date","Price","Open","High","Low","Vol.","Change %"
"12/08/2024","46,500.9","46,053.8","47,480.9","45,188.9","0.40K","0.97%"
"11/08/2024","46,053.8","47,796.5","48,452.0","45,714.9","0.21K","-3.65%"
"10/08/2024","47,796.5","47,716.7","48,171.2","47,259.0","0.13K","0.17%"
"09/08/2024","47,716.7","48,431.2","48,444.6","46,731.3","0.47K","-1.50%"
"08/08/2024","48,444.6","43,437.9","49,217.6","43,165.6","0.56K","11.53%"
"07/08/2024","43,437.9","44,204.9","45,406.1","43,061.3","0.70K","-1.74%"
"06/08/2024","44,204.9","42,270.5","44,972.4","42,270.5","0.58K","4.50%"
"05/08/2024","42,299.8","45,452.7","45,584.8","38,665.3","1.60K","-6.94%"
"04/08/2024","45,452.7","47,512.7","47,793.0","44,768.6","0.39K","-4.34%"
"03/08/2024","47,512.7","48,000.9","48,627.1","46,879.0","0.20K","-1.01%"
"02/08/2024","47,999.6","51,312.1","51,493.7","47,794.0","0.32K","-6.52%"
"01/08/2024","51,347.0","50,267.0","51,475.1","48,883.2","0.39K","2.15%"
"31/07/2024","50,267.0","51,531.6","52,045.0","50,183.6","0.27K","-2.45%"
"30/07/2024","51,531.6","51,945.0","52,130.0","50,909.1","0.23K","-0.80%"
"29/07/2024","51,945.0","52,905.3","54,410.9","51,691.1","0.26K","-1.82%"
"28/07/2024","52,905.3","52,557.4","52,970.1","52,062.9","0.11K","0.66%"
"27/07/2024","52,557.4","52,705.6","53,860.6","51,741.6","0.19K","-0.28%"
"26/07/2024","52,705.6","51,169.4","52,968.5","51,114.7","0.25K","3.00%"
"25/07/2024","51,169.4","50,669.7","51,438.9","49,285.9","0.24K","0.99%"
"24/07/2024","50,668.7","51,060.2","51,896.7","50,483.8","0.17K","-0.77%"
"23/07/2024","51,060.2","52,260.3","52,401.3","50,736.2","0.19K","-2.30%"
"22/07/2024","52,260.3","52,651.6","52,858.2","51,582.4","0.24K","-0.77%"
"21/07/2024","52,667.2","51,912.7","52,765.0","50,948.2","0.11K","1.45%"
"20/07/2024","51,912.7","51,667.6","52,329.9","51,296.6","0.09K","0.47%"
"19/07/2024","51,667.6","49,409.2","52,225.9","48,926.2","0.24K","4.59%"
"18/07/2024","49,400.4","49,280.2","50,152.6","48,825.4","0.20K","0.24%"
"17/07/2024","49,280.2","50,170.3","50,975.4","49,136.3","0.19K","-1.80%"
"16/07/2024","50,183.9","49,957.4","50,374.4","48,152.5","0.37K","0.40%"
"15/07/2024","49,981.8","46,898.9","50,047.6","46,827.3","0.34K","6.57%"
"14/07/2024","46,898.9","45,645.7","47,314.4","45,645.7","0.14K","2.75%"
"13/07/2024","45,645.7","44,620.1","46,115.9","44,518.9","0.09K","2.30%"
"12/07/2024","44,620.1","44,378.7","45,096.9","43,800.0","0.31K","0.54%"
"11/07/2024","44,378.7","44,943.4","45,924.4","44,254.6","0.28K","-1.26%"
"10/07/2024","44,943.1","45,381.4","46,423.5","44,504.4","0.22K","-0.97%"
"09/07/2024","45,381.4","44,255.6","45,550.2","43,923.1","0.32K","2.54%"
"08/07/2024","44,255.6","43,607.9","45,388.3","42,428.0","0.56K","1.44%"
"07/07/2024","43,626.2","45,520.3","45,627.8","43,528.7","0.13K","-4.20%"
"06/07/2024","45,538.9","44,225.9","45,681.5","43,765.9","0.13K","2.97%"
"05/07/2024","44,225.9","44,719.1","45,042.7","41,982.0","0.51K","-1.10%"
"04/07/2024","44,716.6","47,171.8","47,400.4","44,507.1","0.42K","-5.25%"
"03/07/2024","47,196.7","48,880.6","49,004.6","46,616.3","0.24K","-3.44%"
"02/07/2024","48,880.6","49,682.9","50,015.3","48,686.6","0.11K","-1.61%"
"01/07/2024","49,682.9","49,579.7","50,468.7","49,255.9","0.14K","0.21%"
"30/06/2024","49,579.7","48,186.2","49,749.1","47,979.4","0.12K","2.89%"
"29/06/2024","48,186.2","47,733.9","48,372.6","47,703.9","0.07K","0.96%"
"28/06/2024","47,728.3","48,729.0","49,249.7","47,433.3","0.22K","-2.05%"
"27/06/2024","48,729.0","48,192.1","49,236.0","47,929.4","0.16K","1.11%"
"26/06/2024","48,192.1","48,730.1","49,234.5","48,093.9","0.13K","-1.10%"
"25/06/2024","48,730.1","47,524.3","49,128.9","47,470.2","0.36K","2.54%"
"24/06/2024","47,524.3","49,990.3","50,096.8","46,196.8","0.52K","-4.93%"
"23/06/2024","49,990.3","50,811.9","51,024.9","49,981.1","0.05K","-1.62%"
"22/06/2024","50,811.9","50,706.0","51,006.9","50,555.4","0.05K","0.21%"
"21/06/2024","50,706.0","51,201.0","51,349.9","50,160.1","0.17K","-0.97%"
"20/06/2024","51,201.0","51,066.6","52,355.2","50,947.8","0.13K","0.26%"
"19/06/2024","51,066.6","51,263.0","51,719.7","50,836.9","0.15K","-0.38%"
"18/06/2024","51,263.0","52,284.1","52,340.1","50,393.4","0.30K","-1.96%"
"17/06/2024","52,287.9","52,552.0","52,932.0","51,313.6","0.16K","-0.50%"
"16/06/2024","52,552.0","52,185.5","52,770.1","52,043.2","0.07K","0.69%"
"15/06/2024","52,189.9","52,069.8","52,358.6","51,900.0","0.06K","0.23%"
"14/06/2024","52,070.7","52,342.2","53,174.0","51,265.6","0.21K","-0.53%"
"13/06/2024","52,350.4","53,342.9","53,459.1","51,976.9","0.24K","-1.86%"
"12/06/2024","53,342.9","52,878.1","54,516.2","52,538.6","0.28K","0.91%"
"11/06/2024","52,860.5","54,623.2","54,649.1","51,998.8","0.38K","-3.24%"
"10/06/2024","54,630.7","54,735.6","55,106.7","54,404.9","0.12K","-0.19%"
"09/06/2024","54,735.6","54,551.8","54,969.8","54,425.3","0.10K","0.32%"
"08/06/2024","54,562.6","54,522.5","54,710.0","54,417.3","0.07K","0.07%"
"07/06/2024","54,522.5","55,333.7","56,298.1","53,839.5","0.32K","-1.47%"
"06/06/2024","55,333.7","55,556.6","56,020.6","54,818.8","0.20K","-0.40%"
"05/06/2024","55,556.6","55,234.6","56,199.9","55,143.5","0.25K","0.58%"
"04/06/2024","55,234.6","53,709.5","55,541.3","53,596.9","0.32K","2.84%"
"03/06/2024","53,709.5","53,150.0","55,107.4","53,015.3","0.19K","1.05%"
"02/06/2024","53,150.0","53,124.9","53,662.6","52,849.8","0.08K","0.05%"
"01/06/2024","53,124.9","52,957.9","53,196.2","52,887.0","0.05K","0.32%"
"31/05/2024","52,957.9","53,691.8","54,206.8","52,341.4","0.12K","-1.37%"
"30/05/2024","53,691.8","53,214.6","54,561.8","52,820.3","0.14K","0.90%"
"29/05/2024","53,214.6","53,546.3","54,013.8","52,794.3","0.13K","-0.62%"
"28/05/2024","53,545.4","54,298.1","54,381.9","52,709.4","0.20K","-1.40%"
"27/05/2024","54,306.6","53,801.5","55,184.4","53,497.2","0.09K","0.94%"
"26/05/2024","53,801.5","54,383.7","54,551.9","53,577.2","0.07K","-1.07%"
"25/05/2024","54,383.7","53,809.2","54,634.9","53,790.6","0.04K","1.07%"
"24/05/2024","53,809.2","53,521.3","54,322.5","52,456.9","0.11K","0.54%"
"23/05/2024","53,521.3","54,299.9","54,946.7","52,379.1","0.18K","-1.43%"
"22/05/2024","54,300.2","55,117.6","55,263.9","54,200.0","0.13K","-1.48%"
"21/05/2024","55,117.6","56,014.2","56,333.9","54,336.0","0.30K","-1.60%"
"20/05/2024","56,014.2","52,148.3","56,066.3","52,013.9","0.29K","7.41%"
"19/05/2024","52,148.3","52,716.9","53,263.7","51,908.6","0.07K","-1.07%"
"18/05/2024","52,712.7","52,804.8","53,060.5","52,462.1","0.07K","-0.17%"
"17/05/2024","52,804.8","51,460.9","53,089.8","51,443.6","0.19K","2.61%"
"16/05/2024","51,460.9","52,093.3","52,647.9","50,961.0","0.18K","-1.21%"
"15/05/2024","52,093.3","48,871.3","52,407.1","48,695.4","0.25K","6.59%"
"14/05/2024","48,871.3","50,082.0","50,231.0","48,450.3","0.15K","-2.42%"
"13/05/2024","50,082.0","49,063.2","50,482.5","48,500.0","0.15K","2.08%"
"12/05/2024","49,063.2","48,580.4","49,375.4","48,438.6","0.07K","0.99%"
"11/05/2024","48,580.4","48,548.8","49,076.8","48,327.8","0.05K","0.07%"
"10/05/2024","48,548.8","50,365.0","50,631.1","48,073.1","0.20K","-3.61%"
"09/05/2024","50,365.0","48,980.6","50,641.9","48,610.9","0.15K","2.83%"
"08/05/2024","48,980.6","49,836.9","50,452.0","48,719.6","0.14K","-1.72%"
"07/05/2024","49,836.9","50,284.1","51,348.5","49,834.9","0.18K","-0.89%"
"06/05/2024","50,284.1","51,047.2","52,098.1","49,930.9","0.24K","-1.49%"
"05/05/2024","51,047.2","50,925.8","51,465.1","50,181.7","0.10K","0.24%"
"04/05/2024","50,925.8","50,132.3","51,384.2","49,900.0","0.25K","1.58%"
"03/05/2024","50,132.3","47,177.9","50,513.9","46,891.6","0.25K","6.26%"
"02/05/2024","47,177.9","46,502.8","47,615.6","45,467.5","0.27K","1.45%"
"01/05/2024","46,502.8","48,524.3","48,646.8","45,306.8","0.54K","-4.17%"
"30/04/2024","48,524.3","50,836.3","51,518.8","47,293.0","0.32K","-4.54%"
"29/04/2024","50,829.9","50,465.7","51,086.4","49,364.1","0.19K","0.72%"
"28/04/2024","50,465.7","50,169.6","51,135.0","50,151.6","0.21K","0.59%"
"27/04/2024","50,169.6","51,033.5","51,146.9","50,054.0","0.17K","-1.69%"
"26/04/2024","51,032.3","51,568.7","51,811.7","50,750.1","0.13K","-1.04%"
"25/04/2024","51,568.7","51,584.9","52,127.7","50,342.2","0.20K","-0.04%"
"24/04/2024","51,588.9","53,339.3","53,850.0","51,022.1","0.20K","-3.28%"
"23/04/2024","53,339.3","54,137.3","54,395.9","53,061.3","0.10K","-1.47%"
"22/04/2024","54,137.3","52,470.2","54,444.0","52,089.3","0.16K","3.18%"
"21/04/2024","52,470.2","52,614.6","53,176.3","52,000.0","0.11K","-0.27%"
"20/04/2024","52,614.6","51,635.9","52,951.6","51,106.3","0.11K","1.90%"
"19/04/2024","51,635.9","51,109.7","52,616.6","48,100.0","0.32K","1.06%"
"18/04/2024","51,096.2","49,240.1","51,566.4","48,773.6","0.24K","3.77%"
"17/04/2024","49,240.1","51,369.5","51,934.8","48,086.6","0.30K","-4.15%"
"16/04/2024","51,369.5","51,002.4","51,800.0","49,594.1","0.28K","0.72%"
"15/04/2024","51,002.4","52,943.0","53,640.0","50,153.3","0.31K","-3.67%"
"14/04/2024","52,943.0","51,987.6","53,151.8","50,650.0","0.38K","1.84%"
"13/04/2024","51,987.6","54,238.7","54,903.5","49,575.6","0.51K","-4.14%"
"12/04/2024","54,234.6","55,779.5","56,899.7","52,538.6","0.33K","-2.77%"
"11/04/2024","55,779.5","56,249.1","56,750.0","55,494.8","0.19K","-0.83%"
"10/04/2024","56,249.1","54,542.8","56,693.4","53,603.1","0.28K","3.13%"
"09/04/2024","54,542.8","56,454.0","56,578.0","53,898.7","0.24K","-3.39%"
"08/04/2024","56,454.0","54,675.8","57,537.9","54,472.2","0.30K","3.25%"
"07/04/2024","54,675.8","54,246.0","55,276.8","54,187.4","0.15K","0.79%"
"06/04/2024","54,246.1","53,527.3","54,950.0","53,254.5","0.07K","1.34%"
